(0.00349594,-0.00362418)
(0.0035438,-0.00389619)
(0.00358582,-0.00424492)
(0.00359702,-0.00458206)
(0.00363987,-0.00494893)
(0.00362396,-0.00535963)
(0.00359107,-0.00570599)
(0.00363289,-0.00607303)
(0.00364988,-0.00650768)
(0.00365432,-0.00692897)
(0.00368271,-0.00740363)
(0.00363612,-0.00791265)
(0.00358222,-0.00835713)
(0.00358724,-0.00883209)
(0.00355553,-0.009349)
(0.00353227,-0.00983601)
(0.00354642,-0.0103758)
(0.00350759,-0.0109435)
(0.00349248,-0.0114684)
(0.00353557,-0.012061)
(0.00352409,-0.0127162)
(0.00349638,-0.0133563)
(0.00346714,-0.0140447)
(0.00335661,-0.0147286)
(0.00326273,-0.0153291)
(0.00323805,-0.0159557)
(0.00318983,-0.0166135)
(0.00316371,-0.0172448)
(0.00317217,-0.0179319)
(0.00312052,-0.0186409)
(0.00308192,-0.0192914)
(0.00310213,-0.0199811)
(0.00308156,-0.0207141)
(0.00305681,-0.0214153)
(0.00305968,-0.0221559)
(0.00300055,-0.0229205)
(0.00293821,-0.0236247)
(0.00293433,-0.0243612)
(0.00288492,-0.025162)
(0.00279529,-0.0259426)
(0.00271065,-0.0267525)
(0.00254431,-0.0275951)
(0.00233108,-0.0283673)
(0.00216809,-0.0291336)
(0.00197835,-0.0299638)
(0.0017397,-0.0307835)
(0.00151647,-0.031625)
(0.00123435,-0.0325339)
(0.000877,-0.0334101)
(0.000553944,-0.0342678)
(0.000227337,-0.0352009)
(-0.000158733,-0.0361495)
(-0.00052678,-0.0371008)
(-0.000903103,-0.0381324)
(-0.00134876,-0.0391797)
(-0.00177003,-0.0402041)
(-0.00215544,-0.0413095)
(-0.00260291,-0.0424779)
(-0.0030744,-0.0436347)
(-0.00354225,-0.0448336)
(-0.00408493,-0.0460495)
(-0.00464696,-0.047184)
(-0.00513775,-0.0483042)
(-0.00563111,-0.0494716)
(-0.00615125,-0.0506161)
(-0.00663939,-0.051763)
(-0.00716695,-0.0529676)
(-0.007782,-0.0541416)
(-0.00839447,-0.0552685)
(-0.00902177,-0.056445)
(-0.00975139,-0.057639)
(-0.0105344,-0.0587994)
(-0.0113542,-0.0600001)
(-0.0122915,-0.0612303)
(-0.0132983,-0.0624139)
(-0.0142946,-0.0636258)
(-0.0153526,-0.0649338)
(-0.0164999,-0.0662692)
(-0.0176637,-0.0676391)
(-0.0188788,-0.0691015)
(-0.0201848,-0.0705797)
(-0.0214779,-0.0720319)
(-0.0227255,-0.0735514)
(-0.02401,-0.075138)
(-0.02531,-0.0767167)
(-0.0265841,-0.0783271)
(-0.0279136,-0.0799814)
(-0.0293118,-0.0815742)
(-0.030688,-0.083104)
(-0.032072,-0.0846541)
(-0.0335422,-0.0861856)
(-0.0350526,-0.0876565)
(-0.0365906,-0.0891434)
(-0.0382407,-0.0906532)
(-0.0399797,-0.0921167)
(-0.0417272,-0.0935934)
(-0.0435382,-0.0951715)
(-0.0454688,-0.0968016)
(-0.0474548,-0.0984559)
(-0.0494894,-0.100195)
(-0.0516336,-0.101979)
(-0.0538254,-0.10372)
(-0.0559759,-0.105463)
(-0.0581385,-0.107266)
(-0.0603591,-0.109061)
(-0.0625851,-0.110826)
(-0.0648425,-0.112623)
(-0.067221,-0.114418)
(-0.0696889,-0.116134)
(-0.0721852,-0.117834)
(-0.0747739,-0.119589)
(-0.0774972,-0.121352)
(-0.0802847,-0.123117)
(-0.0831234,-0.124963)
(-0.0860659,-0.126877)
(-0.0890537,-0.128786)
(-0.0919914,-0.130734)
(-0.0949149,-0.132782)
(-0.097877,-0.134865)
(-0.100829,-0.136924)
(-0.103768,-0.138997)
(-0.106781,-0.141062)
(-0.109873,-0.143026)
(-0.112974,-0.144908)
(-0.116122,-0.146803)
(-0.119401,-0.148705)
(-0.122784,-0.150584)
(-0.126229,-0.152504)
(-0.12979,-0.154509)
(-0.133471,-0.156527)
(-0.137168,-0.158529)
(-0.140842,-0.160584)
(-0.144553,-0.162691)
(-0.148303,-0.164767)
(-0.152041,-0.16681)
(-0.15581,-0.168872)
(-0.15969,-0.170917)
(-0.163653,-0.172899)
(-0.167645,-0.174893)
(-0.17172,-0.176988)
(-0.175922,-0.179158)
(-0.180184,-0.181374)
(-0.184451,-0.183682)
(-0.188757,-0.186076)
(-0.193083,-0.18845)
(-0.197333,-0.190758)
(-0.201491,-0.19305)
(-0.205645,-0.195326)
(-0.209832,-0.197521)
(-0.214027,-0.199652)
(-0.218274,-0.201801)
(-0.222651,-0.203971)
(-0.227123,-0.206118)
(-0.231597,-0.208289)
(-0.236072,-0.210558)
(-0.240587,-0.212893)
(-0.245107,-0.215214)
(-0.249585,-0.217522)
(-0.254076,-0.219842)
(-0.258655,-0.222119)
(-0.263296,-0.224311)
(-0.267958,-0.226493)
(-0.272682,-0.228766)
(-0.277504,-0.231127)
(-0.282359,-0.233548)
(-0.287165,-0.23606)
(-0.291933,-0.238672)
(-0.29668,-0.241288)
(-0.301351,-0.24382)
(-0.305912,-0.24629)
(-0.310443,-0.24875)
(-0.315029,-0.251184)
(-0.319661,-0.253585)
(-0.324301,-0.256029)
(-0.328971,-0.258581)
(-0.33368,-0.261198)
(-0.338345,-0.263812)
(-0.342887,-0.266429)
(-0.347343,-0.269073)
(-0.351796,-0.271695)
(-0.356258,-0.274246)
(-0.360713,-0.276777)
(-0.365198,-0.279378)
(-0.369745,-0.28206)
(-0.374285,-0.284787)
(-0.378701,-0.287576)
(-0.382972,-0.29046)
(-0.387155,-0.293389)
(-0.391282,-0.29626)
(-0.395353,-0.299046)
(-0.399418,-0.301803)
(-0.403562,-0.304568)
(-0.407786,-0.307324)
(-0.411984,-0.310093)
(-0.416074,-0.31295)
(-0.42006,-0.315917)
(-0.423966,-0.318919)
(-0.427773,-0.32189)
(-0.431491,-0.324854)
(-0.435196,-0.327872)
(-0.43895,-0.330949)
(-0.442699,-0.334078)
(-0.446327,-0.3373)
(-0.449779,-0.340661)
(-0.453069,-0.344112)
(-0.456206,-0.347533)
(-0.459184,-0.350858)
(-0.462049,-0.354118)
(-0.4649,-0.357358)
(-0.467781,-0.360586)
(-0.470621,-0.363812)
(-0.47332,-0.367094)
(-0.475858,-0.370471)
(-0.478281,-0.373889)
(-0.480618,-0.377258)
(-0.482881,-0.38057)
(-0.485109,-0.383905)
(-0.487357,-0.387333)
(-0.489604,-0.390855)
(-0.491726,-0.39445)
(-0.493609,-0.398117)
(-0.49525,-0.401842)
(-0.496733,-0.405558)
(-0.498126,-0.409195)
(-0.499446,-0.412778)
(-0.500702,-0.41641)
(-0.501906,-0.42016)
(-0.503023,-0.423993)
(-0.503963,-0.427823)
(-0.504664,-0.43161)
(-0.50517,-0.435364)
(-0.505592,-0.4391)
(-0.505978,-0.442829)
(-0.506271,-0.446593)
(-0.506375,-0.450455)
(-0.506245,-0.454422)
(-0.505893,-0.458394)
(-0.505344,-0.462245)
(-0.504623,-0.465941)
(-0.503787,-0.469571)
(-0.502901,-0.473246)
(-0.501974,-0.477007)
(-0.500928,-0.480819)
(-0.49968,-0.484636)
(-0.498238,-0.488428)
(-0.496699,-0.492176)
(-0.495145,-0.495868)
(-0.493542,-0.499535)
(-0.491775,-0.50325)
(-0.489745,-0.507059)
(-0.487435,-0.510906)
(-0.48489,-0.514664)
(-0.482169,-0.51825)
(-0.479327,-0.521703)
(-0.476409,-0.52514)
(-0.473421,-0.528634)
(-0.470308,-0.532146)
(-0.466994,-0.535583)
(-0.463457,-0.538893)
(-0.459768,-0.542109)
(-0.456028,-0.545304)
(-0.452249,-0.54853)
(-0.448328,-0.551799)
(-0.444134,-0.555075)
(-0.439638,-0.558292)
(-0.434935,-0.561371)
(-0.430153,-0.564266)
(-0.42533,-0.567006)
(-0.420399,-0.569682)
(-0.415269,-0.572364)
(-0.409918,-0.575024)
(-0.404403,-0.577563)
(-0.398809,-0.579911)
(-0.393179,-0.582111)
(-0.387491,-0.584283)
(-0.381682,-0.586497)
(-0.375699,-0.588684)
(-0.369531,-0.590691)
(-0.363219,-0.59242)
(-0.356838,-0.593921)
(-0.350434,-0.59534)
(-0.343994,-0.59678)
(-0.337448,-0.598212)
(-0.330739,-0.599531)
(-0.323884,-0.600669)
(-0.316964,-0.601672)
(-0.310033,-0.602645)
(-0.303048,-0.603635)
(-0.29589,-0.604569)
(-0.288473,-0.605306)
