(0.000327507,-0.00219112)
(0.000586948,-0.00222832)
(0.000612027,-0.0025815)
(0.00052994,-0.00275926)
(0.000526634,-0.0030862)
(0.000196864,-0.0033859)
(1.71895e-05,-0.00332111)
(0.000136457,-0.00351749)
(-2.60122e-05,-0.00389101)
(-0.000193638,-0.00408941)
(-0.000357781,-0.00448376)
(-0.000866497,-0.00473615)
(-0.00114977,-0.0046283)
(-0.00119286,-0.00477473)
(-0.00146711,-0.00496758)
(-0.00159472,-0.00500275)
(-0.00167282,-0.00530785)
(-0.00202756,-0.00552961)
(-0.00214432,-0.0055658)
(-0.00218229,-0.00597357)
(-0.00261089,-0.00639953)
(-0.00301957,-0.00659227)
(-0.00347351,-0.00688463)
(-0.00415408,-0.00688048)
(-0.00443938,-0.00655733)
(-0.00444445,-0.0065635)
(-0.00463517,-0.00666517)
(-0.00468209,-0.00670747)
(-0.00475223,-0.00705857)
(-0.00515376,-0.00730918)
(-0.00535021,-0.00731523)
(-0.0054143,-0.0076246)
(-0.00579263,-0.0079737)
(-0.00611119,-0.00812165)
(-0.00640027,-0.00846054)
(-0.00698642,-0.00869447)
(-0.00738115,-0.00863318)
(-0.00757241,-0.00884827)
(-0.00809241,-0.009181)
(-0.00866201,-0.0092624)
(-0.00917547,-0.0094303)
(-0.0099795,-0.00949108)
(-0.0106325,-0.00913087)
(-0.0109028,-0.00891606)
(-0.0113355,-0.00893679)
(-0.0118325,-0.00878593)
(-0.0121876,-0.00875077)
(-0.0128234,-0.00881969)
(-0.0135269,-0.00852114)
(-0.0138705,-0.00821991)
(-0.0142939,-0.00821186)
(-0.0148941,-0.00806241)
(-0.0153054,-0.0078984)
(-0.0158502,-0.00796759)
(-0.0166211,-0.00781993)
(-0.0171224,-0.00753833)
(-0.0176029,-0.00759048)
(-0.0184416,-0.00761631)
(-0.0192564,-0.00739053)
(-0.0200502,-0.00724258)
(-0.0210833,-0.00690202)
(-0.021866,-0.00615592)
(-0.0222293,-0.00558606)
(-0.0227031,-0.00527648)
(-0.0232229,-0.00485042)
(-0.0235935,-0.00456393)
(-0.0242399,-0.00446048)
(-0.0250883,-0.00403947)
(-0.0256683,-0.00348981)
(-0.0262845,-0.00318747)
(-0.0271883,-0.00274956)
(-0.0279816,-0.0020771)
(-0.0287437,-0.00152675)
(-0.0297569,-0.000833009)
(-0.0305935,0.00020789)
(-0.0311193,0.00107722)
(-0.0318453,0.00172206)
(-0.0327127,0.00256673)
(-0.0334286,0.00342448)
(-0.034307,0.0041592)
(-0.0353349,0.00520362)
(-0.0360028,0.00644156)
(-0.036488,0.00737027)
(-0.0372025,0.00821272)
(-0.0378842,0.0092281)
(-0.038468,0.0101093)
(-0.0393247,0.0109773)
(-0.040209,0.0122528)
(-0.0407129,0.0136273)
(-0.0411765,0.014771)
(-0.041804,0.0160353)
(-0.0422402,0.0174684)
(-0.0425857,0.0187123)
(-0.0431719,0.0199845)
(-0.0436749,0.0215521)
(-0.0438901,0.0229934)
(-0.0442854,0.0241504)
(-0.0449596,0.0254657)
(-0.0455519,0.0269448)
(-0.0461995,0.0283358)
