(-0.0013586,-0.000242222)
(-0.00142296,-0.000212968)
(-0.00150165,-0.000186157)
(-0.00158466,-0.00014995)
(-0.00167004,-0.000114505)
(-0.00176495,-7.13099e-05)
(-0.00185378,-1.85037e-05)
(-0.00194093,2.67673e-05)
(-0.00203949,7.42814e-05)
(-0.00213722,0.000129568)
(-0.00223711,0.000182417)
(-0.00234316,0.000243608)
(-0.00243929,0.000309847)
(-0.00253386,0.00036487)
(-0.00263696,0.000419463)
(-0.00273711,0.000474121)
(-0.00284197,0.000519221)
(-0.00295541,0.000567035)
(-0.00306366,0.000613524)
(-0.00317729,0.000646803)
(-0.0033027,0.00068094)
(-0.0034256,0.000715663)
(-0.00355139,0.000741047)
(-0.00368095,0.000766492)
(-0.00380107,0.000783383)
(-0.00392515,0.000777252)
(-0.00406339,0.000761009)
(-0.00420589,0.000736)
(-0.00436063,0.000696124)
(-0.00452943,0.000655628)
(-0.00469673,0.000611702)
(-0.00487047,0.000552207)
(-0.00505734,0.000489808)
(-0.00524348,0.000426069)
(-0.00543285,0.000351213)
(-0.00562878,0.000275795)
(-0.00581619,0.000197905)
(-0.00600121,0.000103116)
(-0.00619393,1.88268e-06)
(-0.0063814,-0.000100802)
(-0.00656413,-0.000216218)
(-0.00674839,-0.000337332)
(-0.0069207,-0.000463453)
(-0.00708425,-0.000611992)
(-0.00725522,-0.000777988)
(-0.00742691,-0.000951984)
(-0.00759814,-0.00114365)
(-0.00777989,-0.00134814)
(-0.00796233,-0.0015573)
(-0.00814124,-0.00178599)
(-0.00833279,-0.00203604)
(-0.00853493,-0.00229533)
(-0.00874054,-0.00257187)
(-0.00896081,-0.00286874)
(-0.00919261,-0.00317495)
(-0.00942478,-0.00350008)
(-0.00966889,-0.00385398)
(-0.00992869,-0.0042247)
(-0.0101904,-0.00461402)
(-0.0104569,-0.00503338)
(-0.0107311,-0.00547615)
(-0.0109986,-0.0059456)
(-0.0112629,-0.00645908)
(-0.0115377,-0.00701147)
(-0.0118147,-0.0075931)
(-0.0120897,-0.00821177)
(-0.0123706,-0.00886274)
(-0.0126469,-0.00953427)
(-0.0129072,-0.0102365)
(-0.0131627,-0.0109742)
(-0.0134135,-0.0117338)
(-0.013648,-0.0125174)
(-0.013873,-0.0133329)
(-0.0140937,-0.0141705)
(-0.0142993,-0.0150308)
(-0.0144959,-0.0159286)
(-0.0146993,-0.0168589)
(-0.0149046,-0.0178132)
(-0.0151086,-0.0188023)
(-0.0153222,-0.0198294)
(-0.0155414,-0.0208878)
(-0.0157563,-0.0219909)
(-0.015978,-0.0231523)
