(-0.00533812,-0.00219036)
(-0.00576227,-0.00222384)
(-0.0062075,-0.00208487)
(-0.00658536,-0.00198272)
(-0.00705972,-0.00184717)
(-0.00742999,-0.00161778)
(-0.0077629,-0.00155538)
(-0.0082934,-0.00148532)
(-0.008795,-0.00127199)
(-0.00927049,-0.00111869)
(-0.00983185,-0.000887872)
(-0.0102503,-0.000594238)
(-0.0106588,-0.00048395)
(-0.0112381,-0.000348657)
(-0.011762,-0.000131885)
(-0.0123106,-1.89658e-05)
(-0.0129764,0.00017185)
(-0.0135401,0.000409028)
(-0.0141567,0.000503609)
(-0.0149359,0.000699369)
(-0.0156119,0.00100971)
(-0.0162588,0.00123255)
(-0.0169434,0.00151238)
(-0.0174736,0.00175982)
(-0.0180558,0.00177601)
(-0.0188374,0.00181265)
(-0.0195915,0.00191247)
(-0.0204005,0.00192262)
(-0.0213183,0.00202779)
(-0.0221159,0.00217661)
(-0.0229412,0.00216306)
(-0.0239284,0.00220382)
(-0.0248436,0.00233659)
(-0.025752,0.00237138)
(-0.0267553,0.00246343)
(-0.0276456,0.0026062)
(-0.0285376,0.00258908)
(-0.0296025,0.00261108)
(-0.0306076,0.0027726)
(-0.0315473,0.00286717)
(-0.0325552,0.00299279)
(-0.0334436,0.00318596)
(-0.0342713,0.00320325)
(-0.035285,0.00317177)
(-0.0363222,0.00327649)
(-0.0373083,0.0033428)
(-0.0384078,0.00341699)
(-0.0394686,0.0036229)
(-0.0404284,0.00373055)
(-0.0415465,0.00374102)
(-0.0427576,0.00388247)
(-0.0439076,0.004025)
(-0.0451704,0.00410697)
(-0.0465061,0.00431159)
(-0.0477504,0.00450405)
(-0.0491044,0.00456512)
(-0.050618,0.00473048)
(-0.0520529,0.00498235)
(-0.0534773,0.00513213)
(-0.0549776,0.00530133)
(-0.0563687,0.00546821)
(-0.0577505,0.00540617)
(-0.0593464,0.00526234)
(-0.0609933,0.0052138)
(-0.0626087,0.00510746)
(-0.0643405,0.00498525)
(-0.0660492,0.00499862)
(-0.0676107,0.00495906)
(-0.0692439,0.0048052)
(-0.0709496,0.00476761)
(-0.0725287,0.00479216)
(-0.0740969,0.00473708)
(-0.0757322,0.00476102)
(-0.0772581,0.00485603)
(-0.0787709,0.0048227)
(-0.0804787,0.00480065)
(-0.082228,0.00495232)
(-0.0839282,0.00510579)
(-0.0857465,0.00523914)
(-0.0876126,0.00548767)
(-0.0894017,0.00568344)
(-0.0913249,0.00570366)
(-0.0934641,0.00576323)
(-0.0956062,0.00589193)
(-0.0977652,0.00591651)
(-0.100045,0.00592906)
(-0.102265,0.00599993)
(-0.104371,0.00591251)
(-0.106584,0.00566098)
(-0.10887,0.00546758)
(-0.111053,0.00527614)
(-0.113246,0.00497829)
(-0.115522,0.00474462)
(-0.117708,0.00460681)
(-0.119849,0.00438239)
(-0.122157,0.00416446)
(-0.124528,0.00414709)
(-0.126814,0.00420222)
(-0.129148,0.00422105)
(-0.131555,0.00432834)
(-0.133871,0.00445175)
(-0.136194,0.00437712)
(-0.138723,0.00420694)
(-0.141333,0.00411098)
(-0.143888,0.00396847)
(-0.146509,0.00373106)
(-0.14917,0.00356851)
(-0.151682,0.00343893)
(-0.154125,0.00316673)
(-0.156688,0.00287222)
(-0.159266,0.00272435)
(-0.161759,0.0026)
(-0.164336,0.00242985)
(-0.167041,0.00236267)
(-0.169727,0.00235847)
(-0.172473,0.00221851)
(-0.175469,0.00201308)
(-0.178605,0.00190444)
(-0.181707,0.00177484)
(-0.184852,0.00150564)
(-0.188061,0.00122193)
(-0.191144,0.000938024)
(-0.194095,0.000474504)
(-0.197118,-0.00012274)
(-0.20019,-0.000623273)
(-0.203149,-0.00103441)
(-0.206072,-0.0014752)
(-0.209084,-0.00184614)
(-0.212071,-0.00207404)
(-0.214977,-0.00234898)
(-0.217997,-0.00277384)
(-0.221206,-0.00319137)
(-0.224425,-0.00356287)
(-0.227609,-0.00404731)
(-0.230881,-0.0046276)
(-0.234175,-0.00513974)
(-0.237334,-0.00562921)
(-0.240456,-0.00621981)
(-0.243713,-0.00678148)
(-0.247026,-0.00714516)
(-0.250278,-0.00741649)
(-0.25359,-0.00773615)
(-0.257052,-0.00804069)
(-0.260531,-0.00833483)
(-0.263981,-0.00883357)
(-0.267568,-0.00961313)
(-0.271325,-0.0104914)
(-0.275055,-0.0113839)
(-0.278691,-0.0123888)
(-0.282348,-0.0134639)
(-0.286001,-0.0144274)
(-0.289514,-0.0152951)
(-0.292961,-0.0162318)
(-0.296546,-0.0172112)
(-0.30025,-0.0180916)
(-0.303913,-0.0189397)
(-0.307551,-0.0199248)
(-0.311256,-0.0210097)
(-0.314923,-0.0220706)
(-0.318408,-0.0231732)
(-0.321815,-0.024415)
(-0.325318,-0.0256613)
(-0.328876,-0.0267358)
(-0.332392,-0.0277095)
(-0.335964,-0.0287369)
(-0.339712,-0.0297993)
(-0.343535,-0.0308616)
(-0.347298,-0.032082)
(-0.351075,-0.0335996)
(-0.354964,-0.035289)
(-0.35885,-0.0369582)
(-0.362593,-0.0386156)
(-0.366273,-0.0403268)
(-0.370023,-0.0419988)
(-0.373788,-0.043548)
(-0.37748,-0.0451169)
(-0.381195,-0.0468893)
(-0.385051,-0.0488237)
(-0.388944,-0.0507845)
(-0.392696,-0.052794)
(-0.396324,-0.054931)
(-0.399953,-0.0571013)
(-0.403573,-0.0591532)
(-0.407111,-0.0611388)
(-0.41066,-0.0632346)
(-0.41439,-0.0654653)
(-0.418264,-0.0677285)
(-0.422071,-0.0700435)
(-0.425708,-0.0725404)
(-0.429237,-0.0752067)
(-0.432655,-0.0778722)
(-0.435869,-0.0804724)
(-0.438918,-0.0831261)
(-0.442021,-0.0859011)
(-0.445311,-0.0887028)
(-0.448684,-0.0914727)
(-0.451997,-0.0943177)
(-0.455264,-0.097321)
(-0.458529,-0.10037)
(-0.461712,-0.103314)
(-0.464737,-0.10619)
(-0.467722,-0.109139)
(-0.470868,-0.112185)
(-0.474191,-0.115268)
(-0.477515,-0.118437)
(-0.480723,-0.121849)
(-0.483835,-0.125531)
(-0.486845,-0.129319)
(-0.489654,-0.133077)
(-0.492237,-0.136853)
(-0.494757,-0.140741)
(-0.497385,-0.1447)
(-0.500072,-0.148645)
(-0.502634,-0.152612)
(-0.504987,-0.156699)
(-0.507194,-0.160871)
(-0.509295,-0.164957)
(-0.511254,-0.168882)
(-0.513096,-0.172779)
(-0.514981,-0.176812)
(-0.517027,-0.181)
(-0.519132,-0.185266)
(-0.521078,-0.189604)
(-0.522781,-0.194056)
(-0.524336,-0.198567)
(-0.525834,-0.202989)
(-0.527257,-0.207281)
(-0.528571,-0.211605)
(-0.529837,-0.21615)
(-0.53112,-0.220915)
(-0.532353,-0.225742)
(-0.533399,-0.23052)
(-0.534247,-0.235271)
(-0.53506,-0.240043)
(-0.53598,-0.244823)
(-0.536952,-0.249618)
(-0.537798,-0.254535)
(-0.538415,-0.259688)
(-0.538843,-0.265017)
(-0.539138,-0.270301)
(-0.539285,-0.275369)
(-0.539263,-0.280272)
(-0.539126,-0.285183)
(-0.538939,-0.290191)
(-0.538645,-0.295233)
(-0.5381,-0.300225)
(-0.537256,-0.305173)
(-0.536274,-0.310133)
(-0.535386,-0.315115)
(-0.53466,-0.320103)
(-0.533949,-0.325136)
(-0.533058,-0.330306)
(-0.531918,-0.335623)
(-0.530592,-0.340943)
(-0.529141,-0.346088)
(-0.527564,-0.35104)
(-0.525852,-0.355969)
(-0.524036,-0.361041)
(-0.522139,-0.366232)
(-0.520125,-0.371353)
(-0.517939,-0.376254)
(-0.515617,-0.380972)
(-0.513294,-0.385663)
(-0.51106,-0.39045)
(-0.508828,-0.395336)
(-0.506383,-0.400265)
(-0.503596,-0.405198)
(-0.500556,-0.410117)
(-0.49748,-0.41499)
(-0.494477,-0.419789)
(-0.491445,-0.424526)
(-0.488185,-0.429247)
(-0.484611,-0.433963)
(-0.480822,-0.438591)
(-0.476979,-0.443031)
(-0.473137,-0.447292)
(-0.469211,-0.451531)
(-0.465076,-0.455916)
(-0.460698,-0.460444)
(-0.456146,-0.46492)
