(-0.000634466,-0.000309762)
(-0.000682034,-0.000346968)
(-0.00073886,-0.000328644)
(-0.000768128,-0.000328679)
(-0.000833736,-0.000324343)
(-0.000863055,-0.000285611)
(-0.000872217,-0.000310811)
(-0.000954183,-0.000342768)
(-0.00103082,-0.000323429)
(-0.00109787,-0.000325741)
(-0.00120037,-0.000299252)
(-0.00125098,-0.000240121)
(-0.0012885,-0.000243012)
(-0.00138456,-0.000237088)
(-0.00145635,-0.00019515)
(-0.00152756,-0.000188396)
(-0.00163759,-0.000152259)
(-0.00170377,-9.16526e-05)
(-0.00177767,-8.13978e-05)
(-0.00190789,-3.41144e-05)
(-0.00199678,6.51668e-05)
(-0.00206418,0.000141945)
(-0.00213589,0.000249313)
(-0.00213387,0.00035946)
(-0.00212517,0.000389301)
(-0.00217121,0.000423109)
(-0.00219088,0.000479958)
(-0.00221262,0.00049866)
(-0.00226442,0.000545067)
(-0.00226199,0.000606727)
(-0.00225581,0.000602338)
(-0.00230463,0.000607716)
(-0.00232597,0.000644643)
(-0.00234039,0.000642565)
(-0.00239137,0.000657874)
(-0.00240204,0.000696052)
(-0.00240865,0.000676587)
(-0.00248118,0.000668818)
(-0.00253717,0.000718698)
(-0.00256775,0.000752569)
(-0.00262297,0.000804967)
(-0.00263077,0.000895927)
(-0.00260173,0.000932443)
(-0.00262835,0.000951612)
(-0.00265506,0.00102438)
(-0.00264844,0.00108702)
(-0.00266978,0.00115112)
(-0.0026648,0.0012665)
(-0.00260148,0.00134861)
(-0.00257458,0.00138803)
(-0.00256666,0.00146936)
(-0.00251753,0.00154837)
(-0.00249034,0.00159728)
(-0.00247633,0.00168586)
(-0.002411,0.00177004)
(-0.00236598,0.00180069)
(-0.00236818,0.0018652)
(-0.00233008,0.00196686)
(-0.0022714,0.00203717)
(-0.00222656,0.00212107)
(-0.00212465,0.00221677)
(-0.00199477,0.00223598)
(-0.00192502,0.00222363)
(-0.00186338,0.00224736)
(-0.001779,0.00225141)
(-0.00173177,0.00224652)
(-0.00167758,0.00229298)
(-0.00156675,0.00232459)
(-0.00147955,0.00231156)
(-0.00142383,0.00233841)
(-0.00132425,0.00239064)
(-0.001218,0.00241225)
(-0.00113575,0.00245925)
(-0.00100815,0.00253285)
(-0.000861161,0.00255478)
(-0.000772804,0.00256901)
(-0.000688701,0.00263972)
(-0.00056809,0.0027071)
(-0.000469477,0.0027603)
(-0.000367964,0.00285375)
(-0.000209893,0.0029307)
(-6.88654e-05,0.00294055)
(1.73096e-05,0.0029613)
(0.000123485,0.00301182)
(0.000245764,0.00302989)
(0.00033925,0.00304878)
(0.000466037,0.003101)
(0.000649283,0.00310734)
(0.000804602,0.00305665)
(0.000934463,0.00302834)
(0.00110317,0.00300275)
(0.00126933,0.00293249)
(0.00139965,0.00287476)
(0.00155783,0.00284299)
(0.0017326,0.00276568)
(0.00184445,0.00266992)
(0.00192716,0.00263157)
(0.00204164,0.00261113)
(0.00214384,0.0025698)
(0.00222452,0.00255885)
(0.00235018,0.0025614)
(0.00249208,0.0024989)
(0.00257311,0.00240544)
(0.00263211,0.00234829)
(0.00271832,0.00228685)
(0.00278465,0.00219902)
(0.00283175,0.00214623)
(0.00293037,0.00211488)
(0.00305527,0.00203255)
(0.00313539,0.00193264)
(0.00320781,0.00187561)
(0.00331617,0.0018154)
(0.00340591,0.00172045)
(0.00346139,0.00164546)
(0.00354245,0.00158264)
(0.00362747,0.00146048)
(0.00364266,0.00130486)
(0.00361935,0.00118514)
(0.00361908,0.00106918)
(0.00360839,0.000916156)
(0.0035682,0.000774556)
(0.00356212,0.000654608)
(0.00359217,0.000486221)
(0.00357966,0.000274338)
(0.00352547,9.7889e-05)
(0.00349192,-4.67766e-05)
(0.00345903,-0.000208823)
(0.00338441,-0.000355043)
(0.00331547,-0.000452511)
(0.00328514,-0.000565396)
(0.00322734,-0.000732019)
(0.00311026,-0.000891276)
(0.00299497,-0.00101986)
(0.0028969,-0.00117338)
(0.00276388,-0.00134997)
(0.00260982,-0.00149123)
(0.00249218,-0.00161584)
(0.00237964,-0.00177936)
(0.00220857,-0.00194423)
(0.00201122,-0.00204772)
(0.00184186,-0.0021228)
(0.00166878,-0.00221733)
(0.001463,-0.00229985)
(0.00127633,-0.00235714)
(0.00113,-0.00245807)
(0.000957012,-0.0026303)
(0.000729643,-0.00280731)
(0.000506043,-0.00295706)
(0.000304533,-0.00312206)
(7.64112e-05,-0.00329953)
(-0.000174173,-0.00343054)
(-0.000390508,-0.00352282)
(-0.000587561,-0.00364047)
(-0.000834051,-0.00377564)
(-0.00112314,-0.00386756)
(-0.00139436,-0.00392656)
(-0.00165376,-0.00400705)
(-0.00194365,-0.00409324)
(-0.0022359,-0.0041378)
(-0.00248043,-0.00416794)
(-0.00271176,-0.00423267)
(-0.00299131,-0.00429671)
(-0.00329756,-0.00429931)
(-0.00357961,-0.00426246)
(-0.00385847,-0.00423746)
(-0.00417216,-0.00420729)
(-0.0044847,-0.00414226)
(-0.00474986,-0.00408691)
(-0.0050036,-0.00409176)
(-0.00529859,-0.00411824)
(-0.00560766,-0.00410349)
(-0.00588226,-0.00406008)
(-0.0061459,-0.00402496)
(-0.00644056,-0.00397163)
(-0.0067383,-0.00386418)
(-0.00699556,-0.00374314)
(-0.00724328,-0.00366713)
(-0.00753463,-0.00361507)
(-0.00784811,-0.00353131)
(-0.00812939,-0.0034244)
(-0.00838982,-0.00333488)
(-0.00867704,-0.0032437)
(-0.00898162,-0.00310276)
(-0.00926134,-0.00292933)
(-0.00953454,-0.00278206)
(-0.00985993,-0.0026594)
(-0.0102344,-0.00250679)
(-0.0105947,-0.00231564)
(-0.0109182,-0.00213112)
(-0.0112413,-0.00196061)
(-0.0115723,-0.00175781)
(-0.0118708,-0.00151264)
(-0.0121329,-0.0012794)
(-0.0124224,-0.00108873)
(-0.0127823,-0.00090038)
(-0.0131776,-0.000678202)
(-0.0135654,-0.000450136)
(-0.0139636,-0.000248353)
(-0.0144028,-4.26002e-05)
(-0.0148589,0.000210615)
(-0.0152929,0.000489761)
(-0.0157289,0.000739669)
(-0.0162279,0.000957947)
(-0.0167957,0.00118781)
(-0.0173795,0.00143468)
(-0.0179544,0.00165438)
(-0.0185523,0.00183193)
(-0.0191928,0.00201173)
(-0.0198458,0.00222553)
(-0.0204918,0.00244064)
(-0.0211755,0.00261563)
(-0.0219527,0.00276881)
(-0.0228135,0.00294651)
(-0.0237047,0.00314836)
(-0.0246124,0.00333535)
(-0.0255728,0.00350339)
(-0.0266033,0.00369495)
(-0.0276757,0.00392681)
(-0.028776,0.00415268)
(-0.0299464,0.00432413)
(-0.0312335,0.00445473)
(-0.0326221,0.00459011)
(-0.034059,0.0047375)
(-0.035531,0.00486717)
(-0.0370775,0.0049755)
(-0.0387238,0.00509996)
(-0.0404457,0.00525725)
(-0.042217,0.00540407)
(-0.0440611,0.0054877)
(-0.0460222,0.00551463)
(-0.0481017,0.00553661)
(-0.0502623,0.00557792)
(-0.0524929,0.00561167)
(-0.0548348,0.00561179)
(-0.0573268,0.00559365)
(-0.0599518,0.00558135)
(-0.0626639,0.00555881)
(-0.0654558,0.00548718)
(-0.0683688,0.00536687)
(-0.0714349,0.00525028)
(-0.074639,0.00518083)
(-0.0779519,0.00514194)
(-0.0813793,0.00508561)
(-0.0849502,0.0049975)
(-0.088666,0.00490735)
(-0.0924907,0.00483607)
(-0.0964038,0.0047596)
(-0.100441,0.00464012)
(-0.104662,0.00447613)
(-0.109083,0.00429922)
(-0.113664,0.00412557)
(-0.118364,0.00393543)
(-0.123186,0.00371027)
(-0.128165,0.00347159)
(-0.133313,0.00326115)
(-0.138605,0.00308562)
(-0.144022,0.00290171)
(-0.149581,0.00266614)
(-0.155315,0.00238826)
(-0.161228,0.00211834)
(-0.167294,0.00188741)
(-0.173499,0.00167412)
(-0.179861,0.00143637)
(-0.186407,0.00116246)
(-0.193131,0.000877834)
(-0.199989,0.000605284)
(-0.20695,0.000335457)
(-0.214038,4.46221e-05)
(-0.221304,-0.000268267)
(-0.228773,-0.000576379)
(-0.236411,-0.000857228)
(-0.244169,-0.0011177)
(-0.252034,-0.00137879)
(-0.260036,-0.00164227)
(-0.268202,-0.001886)
(-0.276525,-0.00209643)
(-0.284963,-0.00229561)
(-0.293494,-0.00252393)
(-0.302133,-0.00279488)
(-0.310915,-0.00307555)
(-0.319851,-0.00331878)
(-0.328923,-0.00351209)
(-0.338103,-0.00368728)
(-0.347382,-0.00388014)
(-0.356772,-0.00408743)
(-0.366277,-0.00427125)
(-0.37588,-0.00440604)
(-0.385558,-0.00451372)
(-0.395302,-0.00464571)
(-0.405121,-0.00483018)
(-0.415023,-0.00504189)
(-0.424999,-0.00522739)
(-0.435027,-0.00535779)
(-0.445093,-0.00545274)
(-0.455201,-0.00555187)
(-0.465362,-0.00566715)
(-0.475572,-0.00576881)
(-0.485813,-0.00581925)
(-0.496063,-0.00581693)
(-0.506321,-0.0058018)
(-0.516598,-0.00581548)
(-0.526901,-0.00585814)
(-0.537218,-0.00588741)
(-0.547523,-0.0058606)
(-0.557791,-0.00577604)
(-0.568018,-0.00567123)
(-0.578208,-0.00558119)
(-0.58836,-0.00550227)
(-0.598461,-0.00539987)
(-0.608489,-0.00525136)
(-0.618431,-0.00507741)
(-0.628286,-0.00492661)
(-0.638061,-0.00482796)
(-0.647759,-0.00476055)
(-0.657375,-0.00467275)
(-0.666898,-0.00453122)
(-0.676311,-0.0043494)
(-0.685601,-0.00416686)
(-0.694762,-0.00400374)
(-0.703798,-0.0038396)
(-0.712709,-0.00363859)
(-0.721484,-0.00339192)
(-0.730094,-0.00313076)
(-0.73851,-0.00289605)
(-0.746723,-0.00269874)
(-0.754752,-0.00251186)
(-0.762621,-0.00229967)
(-0.770324,-0.00205005)
(-0.777825,-0.00177801)
(-0.785089,-0.00150359)
(-0.792114,-0.00123332)
(-0.798929,-0.000962932)
(-0.805561,-0.000690073)
(-0.811992,-0.000417712)
(-0.818173,-0.000147601)
(-0.824067,0.000120979)
(-0.829683,0.000382631)
(-0.835058,0.00062302)
(-0.840217,0.000833916)
(-0.845147,0.0010311)
(-0.849818,0.00124757)
(-0.854209,0.00150078)
(-0.858323,0.00176949)
(-0.862163,0.00201189)
(-0.865724,0.00220979)
(-0.868998,0.00238877)
(-0.871987,0.00258935)
(-0.874692,0.00282163)
(-0.877103,0.00305564)
(-0.879201,0.00325512)
(-0.880984,0.00341145)
(-0.882482,0.00354024)
(-0.88373,0.00365472)
(-0.884726,0.00375563)
(-0.885428,0.00384604)
(-0.885795,0.00394008)
(-0.885826,0.00404655)
(-0.885554,0.00415223)
(-0.885004,0.00423664)
(-0.884171,0.00430399)
(-0.883043,0.00438573)
(-0.881621,0.00450234)
(-0.879911,0.00463132)
(-0.877903,0.00472586)
(-0.875584,0.0047626)
(-0.872966,0.00475876)
(-0.870085,0.00474208)
(-0.866968,0.00472005)
(-0.863598,0.00468763)
(-0.859939,0.00464997)
(-0.855983,0.00461647)
(-0.851753,0.00457466)
(-0.847276,0.00449296)
(-0.842548,0.00436029)
(-0.83756,0.00420845)
(-0.83232,0.00407957)
(-0.826844,0.00397907)
(-0.821128,0.00387694)
(-0.815155,0.0037502)
(-0.808931,0.00360264)
(-0.8025,0.00343991)
(-0.795898,0.00325099)
(-0.789117,0.0030318)
(-0.782129,0.00281063)
(-0.774925,0.0026241)
(-0.767523,0.00247164)
(-0.759932,0.00231732)
(-0.752144,0.00213839)
(-0.74417,0.00194802)
(-0.736048,0.00176252)
(-0.727807,0.00157196)
(-0.719426,0.0013627)
(-0.710872,0.00114862)
(-0.702143,0.000951166)
(-0.69327,0.000757781)
(-0.684271,0.000531367)
(-0.675147,0.000261518)
(-0.665915,-2.32331e-05)
(-0.656617,-0.000299826)
(-0.64727,-0.000576121)
(-0.637849,-0.000858042)
(-0.628323,-0.00112269)
(-0.618707,-0.0013509)
(-0.609032,-0.00156434)
(-0.599306,-0.00179817)
(-0.589523,-0.00205102)
(-0.579704,-0.00229541)
(-0.569882,-0.00252715)
(-0.560053,-0.00276551)
(-0.550176,-0.00300684)
(-0.540237,-0.00322098)
(-0.530263,-0.00340236)
(-0.520278,-0.00358435)
(-0.51028,-0.0037879)
(-0.50028,-0.00399363)
(-0.490321,-0.00418422)
(-0.480431,-0.00437536)
(-0.470589,-0.00457691)
